Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
FIAT,"Tipo Hatchback, September 2016 Onwards",1.6 MultiJet 120 bhp,M6,1598,Diesel,,,,,4.4,3.3,3.7,64.2,85.6,76.3,98,£879,,£879,6,69.0,166,,66,96,0.13,,,,,,,
FIAT,"Tipo Station Wagon, September 2016 Onwards",1.3 MultiJet 95 bhp,M5,1248,Diesel,,,,,4.5,3.3,3.7,62.8,85.6,76.3,99,£879,,£879,6,72.0,216,,54,93,0.39,,,,,,,
FIAT,"Tipo Station Wagon, September 2016 Onwards",1.6 MultiJet 120 bhp,M6,1598,Diesel,,,,,4.4,3.3,3.7,64.2,85.6,76.3,98,£879,,£879,6,69.0,166,,66,96,0.13,,,,,,,
FORD,"B-MAX, Model Year Post 2017½",1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Post 2017½",1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Pre 2017½",1.5 Duratorq TDCi (75PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"B-MAX, Model Year Pre 2017½",1.5 Duratorq TDCi (95PS) Stop-Start ,M5,1499,Diesel,,,,,4.0,3.6,3.8,70.6,78.5,74.3,98,£903,,£903,6,69.0,442,,50,117,0.70,,,,,,,
FORD,"C-Max, Model Year Post 2016¼",1.5 TDCi Stop-Start (105PS),M6,1499,Diesel,,,,,4.3,3.5,3.8,65.7,80.7,74.3,99,£903,,£903,6,67.0,405,,65,114,0.41,,,,,,,
FORD,"Fiesta, Model Year Post 2017¼",1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,352,,51,103,0.80,,,,,,,
FORD,"Fiesta, Model Year Post 2017¼",1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,263,,47,72,0.80,,,,,,,
FORD,"Fiesta, Model Year Pre 2017¼",1.5 Duratorq TDCi (75PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,352,,51,103,0.80,,,,,,,
FORD,"Fiesta, Model Year Pre 2017¼",1.5 Duratorq TDCi (95PS) ,M5,1499,Diesel,,,,,4.3,3.2,3.6,65.7,88.3,78.5,94,£855,,£855,6,70.0,263,,47,72,0.80,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,224,,46,83,0.49,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,224,,46,83,0.49,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - 5 Door,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Post 2017",1.5 Duratorq TDCi (95PS) With Stop/Start - Estate,M6,1499,Diesel,,,,,4.3,3.4,3.8,65.7,83.1,74.3,99,£903,,£903,6,71.0,248,,53,104,0.84,,,,,,,
FORD,"Focus, Model Year Pre 2017",1.5 Duratorq TDCi (120PS) With Stop/Start - 5 Door,A6,1499,Diesel,,,,,4.2,3.6,3.8,67.3,78.5,74.3,99,£903,,£903,6,69.0,294,,40,75,0.48,,,,,,,
